,id,name,genre,year,gross_usa,gross_worldwide,imdb_users,no_of_ratings,aged_under_18,aged_18_29,aged_30_44,aged_45_plus,males,males_aged_under_18,males_aged_18_29,males_aged_30_44,males_aged_45_plus,females,females_aged_under_18,females_aged_18_29,females_aged_30_44,females_aged_45_plus,top_1000_voters,us_users,non_us_users,no_of_female_ratings,no_of_male_ratings,imdb_users_no_of_ratings,aged_under_18_no_of_ratings,aged_18_29_no_of_ratings,aged_30_44_no_of_ratings,aged_45_plus_no_of_ratings,males_no_of_ratings,males_aged_under_18_no_of_ratings,males_aged_18_29_no_of_ratings,males_aged_30_44_no_of_ratings,males_aged_45_plus_no_of_ratings,females_no_of_ratings,females_aged_under_18_no_of_ratings,females_aged_18_29_no_of_ratings,females_aged_30_44_no_of_ratings,females_aged_45_plus_no_of_ratings,top_1000_voters_no_of_ratings,us_users_no_of_ratings,non_us_users_no_of_ratings,male_rating_10,male_rating_9,male_rating_8,male_rating_7,male_rating_6,male_rating_5,male_rating_4,male_rating_3,male_rating_2,male_rating_1,female_rating_10,female_rating_9,female_rating_8,female_rating_7,female_rating_6,female_rating_5,female_rating_4,female_rating_3,female_rating_2,female_rating_1,gender_ratings
0,tt0017136,Metropolis,"Drama,Sci-Fi",1927.0,1236166.0,NaN,8.3,139109.0,8.6,8.3,8.3,8.2,8.3,8.5,8.3,8.3,8.3,8.3,8.7,8.3,8.3,7.7,8.1,8.3,8.3,17495.0,89952.0,139109.0,94.0,28737.0,54428.0,21544.0,89952.0,76.0,22596.0,45993.0,18120.0,17495.0,15.0,5824.0,7824.0,3158.0,658.0,28702.0,64116.0,22382.0,21559.0,21987.0,11925.0,4955.0,2506.0,1186.0,829.0,597.0,2026.0,4563.0,4137.0,4147.0,2097.0,910.0,477.0,199.0,149.0,147.0,669.0,107447.0
0,tt0021749,City Lights,"Comedy,Drama,Romance",1931.0,19181.0,NaN,8.5,141424.0,8.5,8.6,8.5,8.5,8.6,8.5,8.6,8.5,8.5,8.5,8.8,8.5,8.5,8.6,8.2,8.6,8.5,15785.0,93977.0,141424.0,161.0,38507.0,48919.0,18434.0,93977.0,143.0,32250.0,42072.0,15351.0,15785.0,16.0,5908.0,6359.0,2821.0,655.0,24246.0,66054.0,27686.0,25296.0,22440.0,9936.0,3516.0,1663.0,760.0,504.0,417.0,1759.0,5077.0,3994.0,3481.0,1629.0,594.0,310.0,166.0,119.0,99.0,316.0,109762.0
0,tt0022100,M,"Crime,Mystery,Thriller",1931.0,35566.0,NaN,8.3,123728.0,8.4,8.3,8.4,8.3,8.4,8.5,8.3,8.4,8.4,8.2,7.7,8.2,8.3,7.7,8.1,8.4,8.3,13445.0,82379.0,123728.0,77.0,26257.0,48655.0,18865.0,82379.0,65.0,21820.0,42168.0,15793.0,13445.0,11.0,4179.0,5982.0,2826.0,659.0,27600.0,57080.0,19758.0,21463.0,20707.0,10318.0,4025.0,1912.0,847.0,632.0,457.0,2260.0,3054.0,3363.0,3143.0,1718.0,682.0,385.0,175.0,138.0,128.0,659.0,95824.0
0,tt0027977,Modern Times,"Comedy,Drama,Family",1936.0,163245.0,NaN,8.5,183585.0,8.6,8.6,8.5,8.4,8.5,8.6,8.6,8.5,8.5,8.4,8.1,8.5,8.5,7.7,8.2,8.4,8.5,21134.0,121143.0,183585.0,212.0,51589.0,63084.0,21913.0,121143.0,173.0,42303.0,54200.0,18553.0,21134.0,31.0,8700.0,8214.0,3026.0,669.0,25767.0,88651.0,32770.0,34846.0,30781.0,12806.0,4329.0,1883.0,828.0,549.0,406.0,1945.0,5704.0,5830.0,5139.0,2262.0,769.0,414.0,174.0,137.0,107.0,598.0,142277.0
0,tt0029583,Snow White and the Seven Dwarfs,"Animation,Family,Fantasy",1937.0,184925485.0,418200000,7.6,159578.0,7.3,7.6,7.6,8.0,7.6,7.4,7.6,7.5,8.0,7.7,7.2,7.7,7.7,8.1,7.9,7.7,7.6,42512.0,83308.0,159578.0,241.0,50138.0,55705.0,15531.0,83308.0,153.0,28844.0,38773.0,12094.0,42512.0,85.0,20744.0,16378.0,3231.0,713.0,36788.0,67996.0,10742.0,9706.0,24399.0,23462.0,9178.0,3430.0,1051.0,539.0,260.0,541.0,7455.0,5386.0,11524.0,10073.0,4664.0,1900.0,662.0,391.0,195.0,262.0,125820.0
0,tt0032553,The Great Dictator,"Comedy,Drama,War",1940.0,5000000.0,11000000,8.5,174671.0,8.5,8.5,8.4,8.4,8.5,8.5,8.5,8.4,8.4,8.5,8.5,8.5,8.5,8.3,8.1,8.4,8.5,17822.0,118468.0,174671.0,190.0,45936.0,63873.0,21376.0,118468.0,163.0,38629.0,55813.0,18387.0,17822.0,22.0,6872.0,7396.0,2679.0,681.0,22307.0,88673.0,30788.0,33283.0,29849.0,13675.0,4998.0,2079.0,932.0,606.0,486.0,1772.0,5452.0,4741.0,4031.0,1747.0,691.0,344.0,168.0,138.0,114.0,396.0,136290.0
0,tt0032910,Pinocchio,"Animation,Comedy,Family",1940.0,84254167.0,NaN,7.5,112061.0,7.5,7.4,7.4,7.8,7.5,7.5,7.5,7.5,7.8,7.3,6.9,7.2,7.2,7.7,7.8,7.6,7.4,24738.0,63802.0,112061.0,191.0,35638.0,39122.0,10414.0,63802.0,141.0,23285.0,29186.0,8333.0,24738.0,45.0,11922.0,9528.0,1951.0,669.0,24724.0,48381.0,7466.0,6859.0,19039.0,18877.0,7276.0,2611.0,826.0,365.0,190.0,293.0,2824.0,2267.0,6059.0,7041.0,3665.0,1577.0,605.0,315.0,206.0,179.0,88540.0
0,tt0032976,Rebecca,"Drama,Mystery,Romance",1940.0,4360000.0,7592465,8.1,108348.0,8.1,8.1,8.1,8.3,8.1,7.8,8.1,8.0,8.2,8.4,9.0,8.2,8.3,8.7,8.0,8.3,8.1,20676.0,62300.0,108348.0,52.0,19879.0,40587.0,20650.0,62300.0,37.0,14160.0,30813.0,15386.0,20676.0,14.0,5533.0,9343.0,4989.0,672.0,24360.0,48966.0,10484.0,14223.0,19188.0,10602.0,3910.0,1545.0,625.0,365.0,269.0,1089.0,5334.0,4947.0,5629.0,2890.0,978.0,385.0,149.0,82.0,67.0,215.0,82976.0
0,tt0033563,Dumbo,"Animation,Drama,Family",1941.0,1600000.0,NaN,7.3,103565.0,7.1,7.2,7.3,7.5,7.2,7.0,7.2,7.2,7.4,7.4,7.3,7.3,7.4,7.7,7.5,7.4,7.2,24945.0,57533.0,103565.0,148.0,31405.0,38313.0,9865.0,57533.0,116.0,19451.0,27684.0,7801.0,24945.0,30.0,11584.0,10205.0,1936.0,644.0,22599.0,45753.0,5212.0,5026.0,13733.0,19217.0,8927.0,3330.0,1065.0,493.0,239.0,291.0,3367.0,2575.0,5857.0,6793.0,3571.0,1501.0,617.0,325.0,184.0,155.0,82478.0
0,tt0033870,The Maltese Falcon,"Film-Noir,Mystery",1941.0,1772000.0,NaN,8.1,137466.0,8.2,7.9,8.0,8.4,8.1,8.2,7.9,8.0,8.4,8.0,8.2,7.7,7.8,8.5,8.3,8.4,7.9,14176.0,90585.0,137466.0,72.0,21872.0,50891.0,29763.0,90585.0,63.0,18384.0,44207.0,25170.0,14176.0,8.0,3281.0,6200.0,4197.0,693.0,38504.0,55294.0,16782.0,19871.0,26323.0,15979.0,6219.0,2336.0,1002.0,514.0,322.0,1237.0,2664.0,2633.0,3983.0,2612.0,1161.0,458.0,183.0,111.0,77.0,294.0,104761.0
